Well,Chl:630,Chl:663,Chl:750
A1,0.113,0.13,0.094
B1,0.055,0.054,0.053
C1,0.033,0.032,0.032
D1,0.03,0.03,0.03
E1,0.034,0.034,0.033
F1,0.031,0.031,0.03
G1,0.029,0.029,0.029
H1,0.032,0.032,0.031
A2,0.088,0.112,0.075
B2,0.052,0.051,0.051
C2,0.039,0.038,0.038
D2,0.03,0.03,0.03
E2,0.032,0.031,0.031
F2,0.033,0.033,0.033
G2,0.032,0.032,0.031
H2,0.035,0.035,0.034
A3,0.1,0.121,0.084
B3,0.041,0.041,0.04
C3,0.035,0.034,0.034
D3,0.033,0.032,0.032
E3,0.038,0.038,0.038
F3,0.039,0.038,0.037
G3,0.029,0.029,0.029
H3,0.039,0.039,0.038
A4,0.062,0.08,0.051
B4,0.044,0.044,0.043
C4,0.037,0.037,0.037
D4,0.034,0.034,0.034
E4,0.029,0.029,0.029
F4,0.029,0.029,0.029
G4,0.03,0.029,0.029
H4,0.031,0.03,0.03
A5,0.086,0.103,0.074
B5,0.043,0.043,0.043
C5,0.032,0.032,0.031
D5,0.034,0.034,0.033
E5,0.032,0.032,0.032
F5,0.029,0.029,0.029
G5,0.03,0.029,0.029
H5,0.03,0.03,0.029
A6,0.072,0.091,0.063
B6,0.047,0.046,0.046
C6,0.032,0.032,0.031
D6,0.035,0.035,0.034
E6,0.029,0.029,0.029
F6,0.035,0.035,0.034
G6,0.03,0.03,0.029
H6,0.031,0.031,0.03
A7,0.079,0.11,0.068
B7,0.046,0.045,0.045
C7,0.043,0.043,0.042
D7,0.034,0.033,0.033
E7,0.041,0.04,0.04
F7,0.053,0.052,0.051
G7,0.03,0.029,0.029
H7,0.03,0.03,0.03
A8,0.092,0.124,0.079
B8,0.034,0.034,0.034
C8,0.049,0.049,0.049
D8,0.034,0.033,0.033
E8,0.029,0.028,0.028
F8,0.034,0.034,0.033
G8,0.029,0.029,0.029
H8,0.03,0.03,0.03
A9,0.233,0.253,0.197
B9,0.032,0.032,0.032
C9,0.044,0.043,0.043
D9,0.037,0.036,0.036
E9,0.036,0.036,0.036
F9,0.031,0.03,0.03
G9,0.03,0.03,0.029
H9,0.028,0.028,0.028
A10,0.09,0.108,0.077
B10,0.031,0.031,0.031
C10,0.036,0.036,0.036
D10,0.032,0.032,0.031
E10,0.029,0.028,0.028
F10,0.038,0.037,0.037
G10,0.029,0.029,0.029
H10,0.029,0.029,0.029
A11,0.084,0.101,0.067
B11,0.03,0.03,0.03
C11,0.052,0.051,0.05
D11,0.032,0.032,0.032
E11,0.046,0.045,0.044
F11,0.036,0.036,0.035
G11,0.032,0.032,0.031
H11,0.029,0.029,0.028
A12,0.108,0.126,0.09
B12,0.036,0.035,0.035
C12,0.037,0.036,0.036
D12,0.032,0.032,0.032
E12,0.03,0.03,0.03
F12,0.031,0.03,0.03
G12,0.039,0.039,0.038
H12,0.042,0.041,0.041
