"","Treatment.1","Date.Release","coral.id","N","Volume_1","sd","se","ci","Date.coral.ID"
"1","Ambient",20170713,"P1",10,0.1713662106,0.0706801709382818,0.0223510325575011,0.0505615483958869,"20170713-P1"
"2","Ambient",20170713,"P2",10,0.2510833445,0.172983492856566,0.0547021835038215,0.123744936233872,"20170713-P2"
"3","Ambient",20170713,"P5",10,0.3997178877,0.173434975491669,0.0548449548489155,0.124067907454818,"20170713-P5"
"4","Ambient",20170713,"P6",10,0.315103596,0.0654017519015974,0.0206818498974296,0.0467855948853878,"20170713-P6"
"5","Ambient",20170714,"P1",10,0.204827969,0.0710098863169456,0.0224552977151173,0.0507974125690188,"20170714-P1"
"6","Ambient",20170714,"P3",10,0.3250602332,0.1249127234994,0.0395008714992941,0.0893571793988996,"20170714-P3"
"7","Ambient",20170714,"P4",10,0.2309544133,0.108856249093746,0.0344233684678877,0.0778710695472739,"20170714-P4"
"8","Ambient",20170714,"P7",10,0.2180351491,0.132543833234215,0.041914040282964,0.0948161464479195,"20170714-P7"
"9","Ambient",20170715,"P1",10,0.344756155,0.123270221165713,0.0389814666556349,0.0881822040114238,"20170715-P1"
"10","Ambient",20170715,"P10",10,0.4566653307,0.251343778606156,0.0794818816108555,0.179800507798676,"20170715-P10"
"11","Ambient",20170715,"P2",10,0.2366479853,0.133739878951921,0.0422922631483284,0.0956717460119376,"20170715-P2"
"12","Ambient",20170715,"P3",10,0.1978871473,0.0967818137479625,0.0306050967525759,0.0692335388369716,"20170715-P3"
"13","Ambient",20170715,"P5",10,0.5091647575,0.327769744287741,0.103649894004023,0.234472350144475,"20170715-P5"
"14","Ambient",20170716,"P1",10,0.3004467425,0.096599002262788,0.0305472866850169,0.0691027633785612,"20170716-P1"
"15","Ambient",20170716,"P10",10,0.34046068,0.141448551056149,0.0447299593068048,0.101186197837561,"20170716-P10"
"16","Ambient",20170716,"P3",10,0.555243933,0.30075574318574,0.0951073167843605,0.215147697898259,"20170716-P3"
"17","Ambient",20170717,"P2",10,0.2027400632,0.125675573660024,0.0397421059013938,0.0899028895295229,"20170717-P2"
"18","Ambient",20170717,"P3",10,0.4402461786,0.274384959072049,0.0867681426359756,0.196283175366668,"20170717-P3"
"19","Ambient",20170722,"P10",10,0.5741617097,0.179020759229898,0.0566113347619089,0.128063736427219,"20170722-P10"
"20","Ambient",20170723,"P10",10,0.501243384,0.223800430324128,0.0707719101150061,0.160097183391572,"20170723-P10"
"21","Hot",20170713,"P11",10,0.3508985471,0.198059731041014,0.0626319862849957,0.141683396394882,"20170713-P11"
"22","Hot",20170713,"P12",10,0.2059790462,0.0850848611718132,0.0269061955702153,0.0608660430328119,"20170713-P12"
"23","Hot",20170713,"P14",9,0.338950126111111,0.192621171022862,0.0642070570076206,0.148061738968863,"20170713-P14"
"24","Hot",20170713,"P16",10,0.0613063928,0.034531766865947,0.0109199034926327,0.0247025379029241,"20170713-P16"
"25","Hot",20170713,"P17",10,0.1425984275,0.0697156421744433,0.0220460217812535,0.0498715660836677,"20170713-P17"
"26","Hot",20170713,"P19",10,0.135599438,0.106712649842704,0.0337455028654955,0.076337631019408,"20170713-P19"
"27","Hot",20170714,"P11",10,0.2035357093,0.118792802357693,0.0375655825084531,0.0849792515461841,"20170714-P11"
"28","Hot",20170714,"P12",10,0.6113421061,0.190221352225288,0.0601532732629048,0.136076157977438,"20170714-P12"
"29","Hot",20170714,"P14",10,0.3331435113,0.136670778492997,0.0432190949626226,0.0977683852393525,"20170714-P14"
"30","Hot",20170714,"P15",10,0.1434834759,0.0775145437079759,0.0245122509905878,0.0554505641546655,"20170714-P15"
"31","Hot",20170714,"P16",10,0.1717141003,0.117603838297311,0.0371895990597643,0.0841287178946391,"20170714-P16"
"32","Hot",20170714,"P17",10,0.2254495209,0.0716210873976819,0.0226485764674656,0.0512346394830603,"20170714-P17"
"33","Hot",20170714,"P18",10,0.2037915801,0.114971286010563,0.0363571129312032,0.0822455034359845,"20170714-P18"
"34","Hot",20170714,"P19",10,0.1846807644,0.0607632521334683,0.0192150274780845,0.0434674120429133,"20170714-P19"
"35","Hot",20170714,"P20",10,0.4722319,0.149463773842447,0.0472645953026428,0.106919942810632,"20170714-P20"
"36","Hot",20170715,"P11",10,0.2935261959,0.128791659307407,0.040727498704383,0.0921320029169747,"20170715-P11"
"37","Hot",20170715,"P17",10,0.5177243136,0.309600556425167,0.0979042923159005,0.221474896131103,"20170715-P17"
"38","Hot",20170715,"P19",10,0.0937002596,0.0434159430654911,0.0137293266851145,0.0310578947011282,"20170715-P19"
"39","Hot",20170715,"P20",10,0.4773682514,0.215644266552267,0.068192704666163,0.154262615311143,"20170715-P20"
