"","coral.id","coral.id.orig","Origin","Treatment","Origin.Treatment","Transplant.Site","N","Volume","sd","se","ci"
"1","P-10-A","P-10","Patch","Ambient","Patch Ambient","Patch",59,0.182352496466181,0.0783264162744547,0.0101972308358019,0.0204119752538897
"2","P-10-B","P-10","Patch","Ambient","Patch Ambient","Rim",58,0.178862044368798,0.0697412102123111,0.00915746953629862,0.0183375164409476
"3","P-12-A","P-12","Patch","Hot","Patch Hot","Patch",111,0.168559098242702,0.0767043951790511,0.00728045899935558,0.0144281608829111
"4","P-12-B","P-12","Patch","Hot","Patch Hot","Rim",49,0.13968422795077,0.0480012854283851,0.00685732648976931,0.0137875789847075
"5","P-14-A","P-14","Patch","Hot","Patch Hot","Patch",58,0.215165387084515,0.0890304486361849,0.0116902706263182,0.0234093631389664
"6","P-14-B","P-14","Patch","Hot","Patch Hot","Rim",59,0.186237419325264,0.057832790362584,0.0075291879962871,0.0150713072535843
"7","P-15-A","P-15","Patch","Hot","Patch Hot","Patch",60,0.180012757556514,0.0905734867490462,0.0116929868595665,0.0233976126620393
"8","P-15-B","P-15","Patch","Hot","Patch Hot","Rim",52,0.146449812708071,0.0683266491294739,0.00947520141988289,0.0190222605910305
"9","P-16-A","P-16","Patch","Hot","Patch Hot","Patch",61,0.183368647985517,0.0802793544938988,0.0102787180724257,0.0205604973733718
"10","P-16-B","P-16","Patch","Hot","Patch Hot","Rim",10,0.200922982527386,0.0688141885617628,0.0217609571191477,0.0492267050164246
"11","P-19-A","P-19","Patch","Hot","Patch Hot","Patch",98,0.243355911258878,0.0971155709588063,0.0098101541119679,0.0194704403243931
"12","P-19-B","P-19","Patch","Hot","Patch Hot","Rim",80,0.249190410990307,0.118635730359959,0.0132638778822602,0.0264010885192115
"13","P-3-A","P-3","Patch","Ambient","Patch Ambient","Patch",49,0.176434839660825,0.0872592352145853,0.012465605030655,0.0250637787494505
"14","P-4-A","P-4","Patch","Ambient","Patch Ambient","Patch",59,0.188835925868527,0.0561754863841177,0.00731342539616639,0.0146394114844981
"15","P-4-B","P-4","Patch","Ambient","Patch Ambient","Rim",18,0.171122312527307,0.0833448428182652,0.0196445678445741,0.0414464152582858
"16","P-6-A","P-6","Patch","Ambient","Patch Ambient","Patch",70,0.223848303836612,0.0829113554281569,0.00990980240464256,0.0197695148717604
"17","P-6-B","P-6","Patch","Ambient","Patch Ambient","Rim",50,0.205812765725746,0.0817997976278554,0.0115682383204688,0.0232472452660236
"18","P-9-A","P-9","Patch","Ambient","Patch Ambient","Patch",50,0.190664042465914,0.084840178666333,0.0119982131304085,0.0241113119966678
"19","P-9-B","P-9","Patch","Ambient","Patch Ambient","Rim",10,0.243160946903932,0.0519516856111412,0.0164285654816203,0.0371639970787467
"20","R-11-A","R-11","Rim","Hot","Rim Hot","Patch",55,0.198293023284495,0.0734448100284509,0.00990329616396411,0.0198549133639239
"21","R-11-B","R-11","Rim","Hot","Rim Hot","Rim",19,0.180064257185629,0.0416594843452273,0.00955734117372949,0.0200792287179914
"22","R-14-B","R-14","Rim","Hot","Rim Hot","Rim",68,0.306379950535101,0.163412632672497,0.0198166925020284,0.0395542837831991
"23","R-15-A","R-15","Rim","Hot","Rim Hot","Patch",119,0.350715215158067,0.230644422025976,0.0211431395019153,0.0418691724181496
"24","R-15-B","R-15","Rim","Hot","Rim Hot","Rim",40,0.335754262883491,0.120668378184182,0.0190793458310295,0.0385916195726645
"25","R-18-B","R-18","Rim","Hot","Rim Hot","Rim",10,0.233777678911614,0.0829290939768674,0.0262244821261052,0.0593239000822424
"26","R-19-A","R-19","Rim","Hot","Rim Hot","Patch",41,0.395844277656922,0.143524166487241,0.0224147090022391,0.0453018167453018
"27","R-19-B","R-19","Rim","Hot","Rim Hot","Rim",42,0.290943600038904,0.115433152664254,0.01781172215278,0.0359715026416575
"28","R-5-A","R-5","Rim","Ambient","Rim Ambient","Patch",28,0.210342471755303,0.0901139200294405,0.0170299301473616,0.0349425303698841
"29","R-7-A","R-7","Rim","Ambient","Rim Ambient","Patch",118,0.255896157188345,0.132594189107857,0.0122062844973503,0.0241739068216239
"30","R-7-B","R-7","Rim","Ambient","Rim Ambient","Rim",120,0.321896016922832,0.120079530069786,0.0109617112189736,0.0217052830304461
"31","R-8-A","R-8","Rim","Ambient","Rim Ambient","Patch",69,0.350607769888944,0.119146453860889,0.0143435474901874,0.0286221033831574
"32","R-8-B","R-8","Rim","Ambient","Rim Ambient","Rim",30,0.217527386378507,0.101833189612279,0.0185921116844487,0.0380251379268762
"33","R-9-A","R-9","Rim","Ambient","Rim Ambient","Patch",60,0.220657529715837,0.0724680128474114,0.00935558022969232,0.0187204727989483
"34","R-9-B","R-9","Rim","Ambient","Rim Ambient","Rim",19,0.229892528878297,0.093409902073543,0.0214297012349792,0.0450221316403483
