"","coral.id","Origin","Treatment","Transplant.Site","Cell.ml.DF","Homo.Vol.mL","Surface.Area","Cells.mL.vol","Cells.cm2","Cells.cm2.x6"
"1","P-10-A","Patch","Ambient","Patch",202916.666666667,20,3.991078573,4058333.33333333,1016851.27443702,1.01685127443702
"2","P-10-B","Patch","Ambient","Rim",345000,11.5,4.70915672,3967500,842507.530732594,0.842507530732594
"3","P-12-A","Patch","Hot","Patch",444166.666666667,22.5,16.21336702,9993750,616389.549911021,0.616389549911021
"4","P-12-B","Patch","Hot","Rim",310277.777777778,17.5,6.264992703,5429861.11111111,866698.712755246,0.866698712755246
"5","P-14-A","Patch","Hot","Patch",246666.666666667,14.5,6.466952182,3576666.66666667,553068.364510549,0.553068364510549
"6","P-14-B","Patch","Hot","Rim",320833.333333333,17.5,4.043438438,5614583.33333333,1388566.54291254,1.38856654291254
"7","P-15-A","Patch","Hot","Patch",469166.666666667,19,7.775948803,8914166.66666667,1146376.71781321,1.14637671781321
"8","P-15-B","Patch","Hot","Rim",350277.777777778,12,4.806396469,4203333.33333333,874529.049037826,0.874529049037826
"9","P-16-A","Patch","Hot","Patch",378333.333333333,17.5,12.80997581,6620833.33333333,516849.792031991,0.516849792031991
"10","P-16-B","Patch","Hot","Rim",504444.444444444,17.5,8.419227143,8827777.77777778,1048525.90716922,1.04852590716922
"11","P-19-A","Patch","Hot","Patch",450833.333333333,17,8.471587007,7664166.66666667,904690.781117379,0.904690781117379
"12","P-19-B","Patch","Hot","Rim",175208.333333333,10,1.941563864,1752083.33333333,902408.293551416,0.902408293551416
"13","P-3-A","Patch","Ambient","Patch",425555.555555556,19,13.5878938,8085555.55555556,595055.839747258,0.595055839747258
"14","P-3-B","Patch","Ambient","Rim",310000,9,3.003721122,2790000,928847.881238157,0.928847881238157
"15","P-4-A","Patch","Ambient","Patch",674166.666666667,17,6.668911661,11460833.3333333,1718546.28100064,1.71854628100064
"16","P-4-B","Patch","Ambient","Rim",226944.444444444,14,2.046283594,3177222.22222222,1552679.32144806,1.55267932144806
"17","P-6-A","Patch","Ambient","Patch",408750,16.5,6.930710985,6744375,973114.448805717,0.973114448805717
"18","P-6-B","Patch","Ambient","Rim",393333.333333333,17,6.668911661,6686666.66666667,1002662.35430445,1.00266235430445
"19","P-9-A","Patch","Ambient","Patch",97777.7777777778,12,2.599802165,1173333.33333333,451316.392119911,0.451316392119911
"20","P-9-B","Patch","Ambient","Rim",351875,12.5,3.183240659,4398437.5,1381748.34113288,1.38174834113288
"21","R-11-A","Rim","Hot","Patch",286111.111111111,14,7.297230039,4005555.55555556,548914.524298657,0.548914524298657
"22","R-11-B","Rim","Hot","Rim",382500,12,5.763833997,4590000,796344.933318523,0.796344933318523
"23","R-14-A","Rim","Hot","Patch",359444.444444444,15,5.703994152,5391666.66666667,945244.073361502,0.945244073361502
"24","R-14-B","Rim","Hot","Rim",120740.740740741,18,4.686716778,2173333.33333333,463721.92651692,0.46372192651692
"25","R-15-A","Rim","Hot","Patch",239375,15,6.526792028,3590625,550136.266728921,0.55013626672892
"26","R-15-B","Rim","Hot","Rim",211296.296296296,12.5,4.103278284,2641203.7037037,643681.349618086,0.643681349618086
"27","R-18-A","Rim","Hot","Patch",577500,11.5,3.886358844,6641250,1708861.75635921,1.70886175635921
"28","R-18-B","Rim","Hot","Rim",205277.777777778,12.5,2.749401779,2565972.22222222,933283.8298939,0.9332838298939
"29","R-19-A","Rim","Hot","Patch",493888.888888889,12.5,2.809241624,6173611.11111111,2197607.73098637,2.19760773098637
"30","R-19-B","Rim","Hot","Rim",314444.444444444,19.5,8.307027432,6131666.66666667,738130.061187291,0.738130061187291
"31","R-4-A","Rim","Ambient","Patch",315000,15,3.946198689,4725000,1197354.81469063,1.19735481469063
"32","R-4-B","Rim","Ambient","Rim",310833.333333333,17,5.210315426,5284166.66666667,1014174.04410837,1.01417404410837
"33","R-5-A","Rim","Ambient","Patch",491388.888888889,16,9.832943493,7862222.22222222,799579.721760761,0.799579721760761
"34","R-5-B","Rim","Ambient","Rim",158125,9,2.973801199,1423125,478554.181926672,0.478554181926672
"35","R-7-A","Rim","Ambient","Patch",305277.777777778,17.5,8.441667085,5342361.11111111,632856.171336578,0.632856171336578
"36","R-7-B","Rim","Ambient","Rim",331944.444444444,28,14.22369216,9294444.44444444,653448.087872878,0.653448087872878
"37","R-8-A","Rim","Ambient","Patch",662916.666666667,22.5,13.40089428,14915625,1113032.06251397,1.11303206251397
"38","R-8-B","Rim","Ambient","Rim",361944.444444444,15.5,5.763833997,5610138.88888889,973334.570670997,0.973334570670997
"39","R-9-A","Rim","Ambient","Patch",417500,14.5,6.264992703,6053750,966282.051230667,0.966282051230667
"40","R-9-B","Rim","Ambient","Rim",206875,12.5,6.713791545,2585937.5,385167.975899675,0.385167975899675
