"","Fragment.ID","X","Intercept","umol.L.sec","V4","V5","Date","Chamber.Channel","Position","RUN","Origin","Treatment","Timepoint","Chamber.Vol.mL","Surf.Area.cm2","Vol.L","umol.sec","Blank","umol.sec.corr","umol.cm2.hr"
"3","P-10",5,130.635835268801,0.00108847025067955,NA,"Photo",20170702,NA,NA,NA,"Patch","Ambient","T1",20465,233.1904762,20.465,0.0214809603971609,-0.00322085234690281,0.0247018127440637,0.381347160174586
"4","P-12",7,134.593696941489,-0.0002273531452359,NA,"Photo",20170702,NA,NA,NA,"Patch","Ambient","T1",19769,560.6507937,19.769,-0.00459548912465325,-0.00322085234690281,-0.00137463677775044,-0.00882669293526333
"5","P-18",9,135.047018432511,0.000756262272688444,NA,"Photo",20170702,NA,NA,NA,"Patch","Ambient","T1",20405,357.4761905,20.405,0.015476907410569,-0.00322085234690281,0.0186977597574718,0.188297673847172
"6","P-7",11,173.035722529869,0.000459437343706622,NA,"Photo",20170702,NA,NA,NA,"Patch","Ambient","T1",19735,463.8253968,19.735,0.00908261684773621,-0.00322085234690281,0.012303469194639,0.0954938849969857
"7","P-8",13,133.934960242892,0.000132517288482894,NA,"Photo",20170702,NA,NA,NA,"Patch","Ambient","T1",20213,298.5079365,20.213,0.00270401527149345,-0.00322085234690281,0.00592486761839627,0.0714537900610443
"8","R-12",15,134.981083807245,0.000476548188653416,NA,"Photo",20170702,NA,NA,NA,"Rim","Ambient","T1",20577,173.1111111,20.577,0.00983166568010863,-0.00322085234690281,0.0130525180270114,0.271438757446928
"9","R-13",17,134.71518440019,0.000532053105737268,NA,"Photo",20170702,NA,NA,NA,"Rim","Ambient","T1",20683,167.2380952,20.683,0.0109491208629672,-0.00322085234690281,0.0141699732098701,0.305025619279669
"10","R-16",19,135.15391527451,0.00171787782805433,NA,"Photo",20170702,NA,NA,NA,"Rim","Ambient","T1",20307,190.8095238,20.307,0.035348772067874,-0.00322085234690281,0.0385696244147768,0.72769243970618
"11","R-3",21,134.304820856237,0.00138266737138828,NA,"Photo",20170702,NA,NA,NA,"Rim","Ambient","T1",20631,222.3968254,20.631,0.0285977092424238,-0.00322085234690281,0.0318185615893266,0.515056010874046
"12","R-5",23,136.826175795918,0.00129848979591838,NA,"Photo",20170702,NA,NA,NA,"Rim","Ambient","T1",20579,252.7142857,20.579,0.0263684322857145,-0.00322085234690281,0.0295892846326174,0.421509311918659
